Year,Month,Min,Avg,Max
2007,12,-1.3,2.1,6.7
2008,1,1.5,4.5,8.1
2008,2,-0.1,4.5,10.3
2008,3,3.1,8.6,14.2
2008,4,7,12.7,18.2
2008,5,12.3,18.6,24.5
2008,6,15.8,21.6,27.7
2008,7,16.1,23.4,30.6
2008,8,16.2,23.7,31.5
2008,9,11.9,17.9,24.9
2008,10,8,14,20.8
2008,11,4.9,8.2,12.2
2008,12,1.3,4.1,7.2
2009,1,-0.9,1.9,5
2009,2,0,4.6,9.8
2009,3,2.9,8.6,14.4
2009,4,9,13.9,19.2
2009,5,13.1,20.2,26.9
2009,6,15.2,22,28.5
2009,7,17.4,24,30.7
2009,8,17.3,24.9,32.7
2009,9,12.9,19.8,27.3
2009,10,7,13,19.2
2009,11,6.1,9.1,12.1
2009,12,-1.1,2.5,6.2
2010,1,-0.5,1.8,4.1
2010,2,1,4.5,8.3
2010,3,3.2,7.9,12.9
2010,4,7.1,13.5,19.6
2010,5,11.8,17.4,22.7
2010,6,16,22.1,28
2010,7,18,25.1,32.1
2010,8,15.9,22.6,29.4
2010,9,12.1,17.7,24.1
2010,10,6.8,11.7,17.4
2010,11,6.2,8.9,11.7
2010,12,-0.9,1.9,5.2
2011,1,0.4,2.6,5.2
2011,2,0.4,4.2,9.6
2011,3,4.6,9.4,14.5
2011,4,8.7,15.8,22.5
2011,5,12.4,19.8,26.4
2011,6,16,22.1,28.1
2011,7,16,22.9,29.6
2011,8,16.3,24.5,32.9
2011,9,15.1,21.5,29.2
2011,10,5.9,12.3,19.3
2011,11,3.2,6.6,11.6
2011,12,0.1,3.5,7.8
2012,1,-2.3,1.2,6.4
2012,2,-3.6,1.4,7.2
2012,3,3,11.3,19.5
2012,4,7.6,12.6,17.8
2012,5,11.4,17.6,23.9
2012,6,16.4,23.4,29.8
2012,7,17.2,24.9,32.1
2012,8,16.8,25.4,33.5
2012,9,13.6,19.2,25.7
2012,10,9.5,14.2,20
2012,11,6.2,9.8,13.9
2012,12,-0.8,1.9,5.4
2013,1,0.8,3.3,6.3
2013,2,-0.1,3.7,8.4
2013,3,4,7.6,11.7
2013,4,8.8,13.7,18.7
2013,5,11.4,16.5,21.9
2013,6,15.8,22.1,28.3
2013,7,18.3,25.2,31.9
2013,8,16.6,23.6,30.9
2013,9,13.1,19.3,26.2
2013,10,11.8,15.1,18.9
2013,11,5.7,9.5,13.8
2013,12,0.4,3.6,8.3
2014,1,3.6,6.2,9.2
2014,2,4.9,8.2,11.7
2014,3,5.3,10.9,16.9
2014,4,8.9,14.8,20.4
2014,5,11.7,17.7,23.7
2014,6,15.3,22.1,28.6
2014,7,16.5,22.2,28.5
2014,8,15.6,21.7,28.1
2014,9,13.1,18.8,25.9
2014,10,10.6,15.7,22
2014,11,7.7,10.9,14.9
2014,12,3.5,5.7,8.4
2015,1,-0.5,3.5,8.7
2015,2,1.5,5.3,9.9
2015,3,3.9,9.4,15.2
2015,4,7.3,14,20.4
2015,5,13.7,18.9,24.4
2015,6,15.8,22.8,29.5
2015,7,19.3,26.7,33.7
2015,8,16.8,24.2,31.9
2015,9,13.5,19.5,26
2015,10,9.3,13.6,18.8
2015,11,3.3,7.3,12.9
2015,12,0.9,3.4,6.8
2016,1,-0.1,3,7.2
2016,2,3.6,7.2,10.9
2016,3,4.8,9.5,14.4
2016,4,8.8,14.5,20.5
2016,5,11.9,17.3,22.8
2016,6,15.6,21.6,27.9
2016,7,18,25.1,32.1
2016,8,15.6,23,30.6
2016,9,13.5,20.4,28.2
2016,10,8.1,12.9,18.1
2016,11,5.2,8.7,12.4
2016,12,-0.6,2.6,6.7
2017,1,-4,0.1,5.4
2017,2,2.6,6.1,10.4
2017,3,4.7,11.3,18.3
2017,4,7.9,14.1,20
2017,5,12.5,18.5,24.5
2017,6,16.6,23.8,30.6
2017,7,17,24.4,31.5
2017,8,17.1,25.1,33.1
2017,9,11.9,17.3,23.6
2017,10,7.3,13.1,20.2
2017,11,2.8,7.2,11.9
2017,12,-1.1,2.2,6.6
2018,1,1.4,5.2,9.6
2018,2,0.5,3.6,7.2
2018,3,3.3,7,10.8
2018,4,9.3,16.2,22.5
2018,5,14.1,19.5,25.1
2018,6,16.1,22.6,29.1
2018,7,17.9,24.6,31.7
2018,8,17.4,24.5,32.1
2018,9,14,20.2,27.7
2018,10,9.5,15,21.2
2018,11,7.4,10.3,13.5
2018,12,-1.1,2.3,6.6
2019,1,-2.2,1.6,6
2019,2,-0.1,5.4,12.6
2019,3,2,9.5,17.1
2019,4,7.8,13.2,18.5
2019,5,10.7,14.8,19.4
2019,6,17.4,25,31.4
2019,7,18,24.9,31.7
2019,8,18.2,24.7,31.7
2019,9,13.7,19.4,26.1
2019,10,10.9,15.4,20.6
2019,11,6.9,10.2,13.4
2019,12,1.5,5.2,9.5
2020,1,-0.5,3.2,8.3
2020,2,1.5,7,13.5
2020,3,4,9.1,14.1
2020,4,6,14.2,21.5
2020,5,12,18.3,24.1
2020,6,15.1,21.4,27.9
2020,7,16.3,23.9,31
2020,8,17.2,24.1,31.5
2020,9,13.5,19.9,27.5
2020,10,7.2,12.5,18.5
2020,11,3.8,7.9,13.2
2020,12,2.6,5.1,7.6
2021,1,-1,2.6,6.2
2021,2,2.5,6.9,12
2021,3,1.3,8.6,15.7
2021,4,5.4,11.6,17.2
2021,5,11,16.5,21.9
2021,6,16.3,23.5,30.2
2021,7,17.4,24.1,31
2021,8,15.4,23,30.9
2021,9,13,19.5,27
2021,10,6.8,12.7,19.5
2021,11,5.3,9.1,12.7
2021,12,0.2,3.4,7.1
2022,1,-1.5,2.4,7.5
2022,2,0.4,6.1,12.4
2022,3,1.5,8.1,14.9
2022,4,5.6,12.4,18.9
2022,5,13.8,20.3,26.3
2022,6,17,24.5,31.3
2022,7,17.8,26,33.7
2022,8,17.1,24.3,31.8
2022,9,13.6,19.4,25.9
2022,10,10.3,16.6,24.2
2022,11,4.6,9.3,14.3
2022,12,4.1,6.2,8.3
2023,1,2.9,5.9,9.4
2023,2,0.5,5.3,11.6
2023,3,4.5,10.6,16.9
2023,4,7,12.6,18.3
2023,5,13.3,18,22.9
2023,6,16.5,22.9,29.5
2023,7,18.7,25.3,32.1
2023,8,17.4,24.4,32.1
2023,9,14.1,21.3,28.9
2023,10,10.9,16.6,22.9
2023,11,3.1,8,13.8
2023,12,1.8,5,9.7
