Year,Month,Min,Avg,Max
2007,12,-2.1,2.3,8.6
2008,1,1,4.4,8.9
2008,2,-0.8,4,10.1
2008,3,2.8,7.8,13
2008,4,6.6,12,17.7
2008,5,12.1,17.9,23.8
2008,6,16.2,21.8,27.8
2008,7,16.6,23.4,31
2008,8,16.8,23.4,31.2
2008,9,12.1,17.6,24.4
2008,10,8.4,14,21
2008,11,4.1,8,13.2
2008,12,0.5,3.9,8.4
2009,1,-1.1,2.5,7.1
2009,2,-0.5,4.2,10
2009,3,2.7,8.4,14.3
2009,4,8.5,14.2,20.6
2009,5,13.2,20,27.1
2009,6,14.6,21,28.1
2009,7,16.7,23.5,30.7
2009,8,17.8,24.8,32.7
2009,9,13.9,20.1,27.3
2009,10,7.9,13.3,19.9
2009,11,5.7,9,12.8
2009,12,-1.1,2.9,7.3
2010,1,-2,1.5,5.7
2010,2,0.5,4.3,8.9
2010,3,2.8,7.7,12.9
2010,4,6.9,13.6,20.4
2010,5,11.4,17.1,23.3
2010,6,15.6,21.6,28.2
2010,7,17.9,24.5,31.6
2010,8,15.6,21.9,29
2010,9,11.6,17.2,24.1
2010,10,6.7,12,18.6
2010,11,5.3,8.9,13
2010,12,-1.1,2.4,6.8
2011,1,-1.1,2.2,6.4
2011,2,-0.1,4.8,11.3
2011,3,3.5,8.9,14.8
2011,4,8.1,15.5,23.4
2011,5,11.6,19.7,27.7
2011,6,15.6,21.7,28.3
2011,7,16.5,22.6,29.4
2011,8,17.9,25,32.7
2011,9,15.8,21.9,29.2
2011,10,7.1,13,20.2
2011,11,2.6,7.5,14.8
2011,12,-0.1,4.3,9.7
2012,1,-3.2,1.6,8.6
2012,2,-3.7,1.9,8
2012,3,4.2,11.4,19.1
2012,4,7.8,12.6,17.7
2012,5,11.6,17.9,24.2
2012,6,16.6,22.9,29.3
2012,7,18.2,24.9,32
2012,8,17.9,25.2,33.1
2012,9,13.9,19.4,25.7
2012,10,10,14.2,19.7
2012,11,5.8,9.7,14.2
2012,12,-1.3,2.3,6.9
2013,1,0.7,3.9,7.6
2013,2,-0.2,3.8,8.4
2013,3,3.9,7.5,11.4
2013,4,9,13.6,18.4
2013,5,11,16,21.3
2013,6,15.2,21.6,28.2
2013,7,18.6,25.3,31.7
2013,8,17.2,23.8,30.8
2013,9,13.6,19.2,25.3
2013,10,11.4,14.8,19.1
2013,11,5.6,9.3,13.9
2013,12,0.8,4.6,10.2
2014,1,3.5,6.2,9.4
2014,2,4.5,8,11.6
2014,3,5.2,10.8,17
2014,4,9.2,14.7,20.1
2014,5,11,17.1,23.1
2014,6,15.5,21.9,28
2014,7,16.9,22.1,27.6
2014,8,15.9,21.1,26.9
2014,9,13.5,18.4,24.4
2014,10,10.8,15.4,20.8
2014,11,8.1,11.3,15.4
2014,12,2.6,5.8,9.8
2015,1,-0.6,3.9,9.6
2015,2,1.4,5.6,10.6
2015,3,3.9,9.3,14.9
2015,4,6.7,13.1,18.9
2015,5,13.1,18.2,23.3
2015,6,16,22.3,28.2
2015,7,19.8,26.3,32.6
2015,8,17.8,24.2,31
